Track,Lambda,UserId,Archetype,Precision@10,Precision@10_Ceiling,Recall@10,HR@10,MRR@10,NDCG@10,Language_Diversity,Genre_Diversity,Filter_Bubble_Score,Novelty@10
real,0.3,13521,bollywood,0.0,1.0,0.0,0.0,0.0,0.0,1,10,1.0,0.0
real,0.4,13521,bollywood,0.0,1.0,0.0,0.0,0.0,0.0,1,10,1.0,0.0
real,0.5,13521,bollywood,0.0,1.0,0.0,0.0,0.0,0.0,1,12,1.0,0.0
real,0.0,14136,kdrama,0.2,0.8,0.25,1.0,0.5,0.2685,4,6,0.7,0.3
real,0.05,14136,kdrama,0.2,0.8,0.25,1.0,0.5,0.2861,4,6,0.7,0.3
real,0.1,14136,kdrama,0.2,0.8,0.25,1.0,0.5,0.2861,4,6,0.7,0.3
real,0.15,14136,kdrama,0.2,0.8,0.25,1.0,0.5,0.2574,4,6,0.7,0.3
real,0.2,14136,kdrama,0.2,0.8,0.25,1.0,0.25,0.199,3,6,0.8,0.2
real,0.3,14136,kdrama,0.3,0.8,0.375,1.0,0.25,0.2582,3,7,0.9,0.1
real,0.4,14136,kdrama,0.2,0.8,0.25,1.0,0.2,0.171,2,7,1.0,0.0
real,0.5,14136,kdrama,0.1,0.8,0.125,1.0,0.1429,0.0843,2,8,1.0,0.0
real,0.0,14705,bollywood,0.0,0.1,0.0,0.0,0.0,0.0,2,11,1.0,0.0
real,0.05,14705,bollywood,0.0,0.1,0.0,0.0,0.0,0.0,2,12,1.0,0.0
real,0.1,14705,bollywood,0.0,0.1,0.0,0.0,0.0,0.0,2,12,1.0,0.0
real,0.15,14705,bollywood,0.0,0.1,0.0,0.0,0.0,0.0,2,12,1.0,0.0
real,0.2,14705,bollywood,0.0,0.1,0.0,0.0,0.0,0.0,2,12,1.0,0.0
real,0.3,14705,bollywood,0.0,0.1,0.0,0.0,0.0,0.0,2,11,1.0,0.0
real,0.4,14705,bollywood,0.0,0.1,0.0,0.0,0.0,0.0,2,11,1.0,0.0
real,0.5,14705,bollywood,0.0,0.1,0.0,0.0,0.0,0.0,1,11,1.0,0.0
real,0.0,15077,bollywood,0.1,1.0,0.0435,1.0,0.3333,0.11,7,5,0.5,0.5
real,0.05,15077,bollywood,0.1,1.0,0.0435,1.0,0.5,0.1389,6,5,0.6,0.4
real,0.1,15077,bollywood,0.1,1.0,0.0435,1.0,0.5,0.1389,5,5,0.7,0.3
real,0.15,15077,bollywood,0.2,1.0,0.087,1.0,0.5,0.2025,4,5,0.8,0.2
real,0.2,15077,bollywood,0.2,1.0,0.087,1.0,0.5,0.2173,3,6,0.9,0.1
real,0.3,15077,bollywood,0.2,1.0,0.087,1.0,0.5,0.2489,2,6,1.0,0.0
real,0.4,15077,bollywood,0.5,1.0,0.2174,1.0,0.5,0.471,2,8,1.0,0.0
real,0.5,15077,bollywood,0.5,1.0,0.2174,1.0,0.5,0.5072,2,8,1.0,0.0
real,0.0,15138,anime,0.1,1.0,0.1,1.0,0.1,0.0636,2,10,1.0,0.0
real,0.05,15138,anime,0.1,1.0,0.1,1.0,0.1,0.0636,2,10,1.0,0.0
real,0.1,15138,anime,0.1,1.0,0.1,1.0,0.1,0.0636,2,10,1.0,0.0
real,0.15,15138,anime,0.1,1.0,0.1,1.0,0.125,0.0694,2,9,1.0,0.0
real,0.2,15138,anime,0.1,1.0,0.1,1.0,0.1429,0.0734,2,9,1.0,0.0
real,0.3,15138,anime,0.2,1.0,0.2,1.0,0.1667,0.142,2,10,1.0,0.0
real,0.4,15138,anime,0.1,1.0,0.1,1.0,0.1,0.0636,2,10,1.0,0.0
real,0.5,15138,anime,0.0,1.0,0.0,0.0,0.0,0.0,2,9,1.0,0.0
real,0.0,16273,hollywood,0.1,1.0,0.0556,1.0,1.0,0.2201,5,11,0.6,0.4
real,0.05,16273,hollywood,0.1,1.0,0.0556,1.0,1.0,0.2201,4,10,0.7,0.3
real,0.1,16273,hollywood,0.1,1.0,0.0556,1.0,1.0,0.2201,3,8,0.8,0.2
real,0.15,16273,hollywood,0.1,1.0,0.0556,1.0,1.0,0.2201,1,7,1.0,0.0
real,0.2,16273,hollywood,0.1,1.0,0.0556,1.0,1.0,0.2201,1,7,1.0,0.0
real,0.3,16273,hollywood,0.1,1.0,0.0556,1.0,1.0,0.2201,1,7,1.0,0.0
real,0.4,16273,hollywood,0.1,1.0,0.0556,1.0,1.0,0.2201,1,7,1.0,0.0
real,0.5,16273,hollywood,0.1,1.0,0.0556,1.0,0.5,0.1389,1,7,1.0,0.0
real,0.0,17467,bollywood,0.2,0.5,0.4,1.0,0.25,0.2591,7,7,0.3,0.7
real,0.05,17467,bollywood,0.3,0.5,0.6,1.0,1.0,0.5873,6,8,0.4,0.6
real,0.1,17467,bollywood,0.4,0.5,0.8,1.0,1.0,0.7824,4,9,0.6,0.4
real,0.15,17467,bollywood,0.4,0.5,0.8,1.0,1.0,0.82,3,9,0.8,0.2
real,0.2,17467,bollywood,0.4,0.5,0.8,1.0,1.0,0.82,3,9,0.8,0.2
real,0.3,17467,bollywood,0.5,0.5,1.0,1.0,1.0,0.9181,1,9,1.0,0.0
real,0.4,17467,bollywood,0.5,0.5,1.0,1.0,1.0,0.9181,1,9,1.0,0.0
real,0.5,17467,bollywood,0.5,0.5,1.0,1.0,1.0,0.9032,1,9,1.0,0.0
real,0.0,17583,bollywood,0.4,1.0,0.2,1.0,0.3333,0.3445,1,8,1.0,0.0
real,0.05,17583,bollywood,0.4,1.0,0.2,1.0,0.3333,0.3445,1,8,1.0,0.0
real,0.1,17583,bollywood,0.4,1.0,0.2,1.0,0.3333,0.3445,1,8,1.0,0.0
real,0.15,17583,bollywood,0.4,1.0,0.2,1.0,0.3333,0.3445,1,8,1.0,0.0
real,0.2,17583,bollywood,0.4,1.0,0.2,1.0,0.3333,0.3445,1,8,1.0,0.0
real,0.3,17583,bollywood,0.4,1.0,0.2,1.0,0.3333,0.3347,2,8,1.0,0.0
real,0.4,17583,bollywood,0.3,1.0,0.15,1.0,0.25,0.2462,2,8,1.0,0.0
real,0.5,17583,bollywood,0.3,1.0,0.15,1.0,0.2,0.2272,2,9,1.0,0.0
real,0.0,17600,anime,0.1,0.5,0.2,1.0,0.1111,0.1021,5,8,0.6,0.4
real,0.05,17600,anime,0.1,0.5,0.2,1.0,0.1111,0.1021,4,8,0.7,0.3
real,0.1,17600,anime,0.0,0.5,0.0,0.0,0.0,0.0,3,7,0.8,0.2
real,0.15,17600,anime,0.0,0.5,0.0,0.0,0.0,0.0,2,7,0.9,0.1
real,0.2,17600,anime,0.0,0.5,0.0,0.0,0.0,0.0,1,7,1.0,0.0
real,0.3,17600,anime,0.0,0.5,0.0,0.0,0.0,0.0,1,8,1.0,0.0
real,0.4,17600,anime,0.1,0.5,0.2,1.0,0.1667,0.1208,1,8,1.0,0.0
real,0.5,17600,anime,0.1,0.5,0.2,1.0,0.25,0.1461,1,8,1.0,0.0
real,0.0,17746,mixed,0.0,0.5,0.0,0.0,0.0,0.0,4,5,0.6,0.4
real,0.05,17746,mixed,0.0,0.5,0.0,0.0,0.0,0.0,4,5,0.7,0.3
real,0.1,17746,mixed,0.0,0.5,0.0,0.0,0.0,0.0,4,5,0.7,0.3
real,0.15,17746,mixed,0.0,0.5,0.0,0.0,0.0,0.0,3,5,0.8,0.2
real,0.2,17746,mixed,0.0,0.5,0.0,0.0,0.0,0.0,2,5,0.9,0.1
real,0.3,17746,mixed,0.0,0.5,0.0,0.0,0.0,0.0,1,5,1.0,0.0
real,0.4,17746,mixed,0.0,0.5,0.0,0.0,0.0,0.0,1,6,1.0,0.0
real,0.5,17746,mixed,0.0,0.5,0.0,0.0,0.0,0.0,1,5,1.0,0.0
real,0.0,17933,mixed,0.0,1.0,0.0,0.0,0.0,0.0,4,13,0.6,0.4
real,0.05,17933,mixed,0.1,1.0,0.0667,1.0,0.1429,0.0734,4,13,0.8,0.2
real,0.1,17933,mixed,0.1,1.0,0.0667,1.0,0.25,0.0948,3,13,0.9,0.1
real,0.15,17933,mixed,0.1,1.0,0.0667,1.0,0.3333,0.11,3,13,0.9,0.1
real,0.2,17933,mixed,0.1,1.0,0.0667,1.0,1.0,0.2201,2,8,1.0,0.0
real,0.3,17933,mixed,0.2,1.0,0.1333,1.0,1.0,0.2935,2,8,1.0,0.0
real,0.4,17933,mixed,0.2,1.0,0.1333,1.0,1.0,0.3052,2,10,1.0,0.0
real,0.5,17933,mixed,0.2,1.0,0.1333,1.0,1.0,0.3052,1,11,1.0,0.0
real,0.0,18089,kdrama,0.1,0.4,0.25,1.0,0.1111,0.1175,3,7,0.8,0.2
real,0.05,18089,kdrama,0.2,0.4,0.5,1.0,0.1111,0.2304,2,6,0.9,0.1
real,0.1,18089,kdrama,0.2,0.4,0.5,1.0,0.1111,0.2304,2,6,0.9,0.1
real,0.15,18089,kdrama,0.1,0.4,0.25,1.0,0.125,0.1232,3,6,0.9,0.1
real,0.2,18089,kdrama,0.2,0.4,0.5,1.0,0.1111,0.2304,2,6,1.0,0.0
real,0.3,18089,kdrama,0.2,0.4,0.5,1.0,0.1111,0.2304,2,6,1.0,0.0
real,0.4,18089,kdrama,0.0,0.4,0.0,0.0,0.0,0.0,2,7,1.0,0.0
real,0.5,18089,kdrama,0.0,0.4,0.0,0.0,0.0,0.0,2,9,1.0,0.0
real,0.0,18429,bollywood,0.0,0.3,0.0,0.0,0.0,0.0,6,12,0.5,0.5
real,0.05,18429,bollywood,0.0,0.3,0.0,0.0,0.0,0.0,4,13,0.7,0.3
real,0.1,18429,bollywood,0.0,0.3,0.0,0.0,0.0,0.0,4,13,0.7,0.3
real,0.15,18429,bollywood,0.1,0.3,0.3333,1.0,0.1,0.1357,4,13,0.8,0.2
real,0.2,18429,bollywood,0.1,0.3,0.3333,1.0,0.1111,0.1413,3,13,0.9,0.1
